lemma,poscode,surface
blend,2,Blend
propene,3,propene
acetone,3,acetone
Ethylene-vinyl acetate,3,Ethylene-vinyl acetate,eva
sodium,3,sodium
zinc,3,zinc
acetylene,3,acetylene
aminobenzene,3,aminobenzene
ammonium nitrate,3,ammonium nitrate
bakelite,3,Bakelite
benzene,3,Benzene
carboxybenzene,3,carboxybenzene
chlorine,3,chlorine
chloroprene,3,chloroprene
coumarin,3,coumarin
dimethyl ketone,3,dimethyl ketone
ethylene glycol,3,ethylene glycol
ethylene oxide,3,ethylene oxide
frit,3,frit
herbicides,3,herbicides
hydroxybenzene,3,hydroxybenzene
insecticides,3,insecticides
isobutylene,3,isobutylene
isoprene,3,isoprene
isopropyl alcohol,3,isopropyl alcohol
isopropylbenzene,3,isopropylbenzene
methylbenzene,3,methylbenzene
neoprene,3,neoprene
nitric acid,3,nitric acid
nitrocellulose,3,nitrocellulose
nitrous oxide,3,nitrous oxide
oxygen,3,oxygen
phenol,3,phenol
polyester,3,polyester
polymerized propylene,3,polymerized propylene
polyurethane,3,polyurethane
propylene,3,propylene
sodium hydroxide,3,sodium hydroxide
soybean oil,3,soybean oil
stearic acid,3,stearic acid
styrene,3,styrene
styrene-butadiene,3,styrene-butadiene
sulfuric acid,3,sulfuric acid
toluene,3,toluene
urea,3,urea
vanillin,3,vanillin
xylenes,3,xylenes
acetic acid,3,Acetic acid
acetone ,3,acetone 
acrylic acid,3,acrylic acid
acrylic polymers,3,acrylic polymers
acrylonitrile,3,acrylonitrile
acrylonitrile-butadiene-styrene ,3,acrylonitrile-butadiene-styrene 
additive,3,Additive
adipic acid ,3,adipic acid 
agrochemicals,3,agrochemicals
alkanes,3,Alkanes
alkyd resins,3,alkyd resins
alkylbenzene ,3,alkylbenzene 
allyl chloride ,3,allyl chloride 
alpha,3,alpha
ammonia,3,Ammonia
aniline ,3,aniline 
antiblock,3,Antiblock
antioxidant,3,Antioxidant
antistat,3,Antistat
aromatic,3,Aromatic
aromatic hydrocarbon,3,Aromatic Hydrocarbon
ash,3,Ash
asphaltenes,3,Asphaltenes
associated gas,3,Associated Gas
barefoot,3,Barefoot
benchmark crude,3,Benchmark Crude
benzene ,3,benzene 
benzoic acid ,3,benzoic acid 
benzyl benzoate,3,benzyl benzoate
biodegradable plastic,3,Biodegradable Plastic
biodiesel,3,Biodiesel
biofuel,3,Biofuel
biogas,3,Biogas
bisphenol a ,3,bisphenol A 
bitumen,3,Bitumen
bottom sediment and water,3,Bottom sediment and water
bottom sediment and water monitor,3,Bottom sediment and water monitor
brake horsepower,3,Brake horsepower
branched polymer,3,Branched polymer
brent crude,3,Brent Crude
bunker fuel oil,3,Bunker Fuel Oil
butadiene,3,Butadiene
butanol,3,Butanol
butene,3,Butene
butyl ether,3,butyl ether
calcium carbonate,3,Calcium Carbonate
caprolactam ,3,caprolactam 
carbon,3,Carbon
carbon aliphatic cyclic hydrocarbon ,3,carbon aliphatic cyclic hydrocarbon 
carbon cyclic amide,3,carbon cyclic amide
carbon dicarboxylic acid,3,carbon dicarboxylic acid
catalyst,3,Catalyst
ccr,3,CCR
cellulose,3,Cellulose
ceramic products,3,ceramic products
chlorobenzene,3,chlorobenzene
coalbed methane,3,Coalbed Methane
comonomer,3,Comonomer
composite polymer,3,Composite polymer
compound,3,Compound
condensate,3,Condensate
condensation polymer,3,Condensation polymer
continuous-type deposit,3,Continuous-Type Deposit
conventional crude oil,3,Conventional Crude Oil
conventional gas,3,Conventional Gas
copolymer,3,Copolymer
crude,3,Crude
crystalline polymer,3,crystalline polymer
cumene,3,cumene
free radical,3,free radical
cyclohexane,3,Cyclohexane
detergent alcohols,3,detergent alcohols
detergents,3,detergents
dichloroethane,3,Dichloroethane
dimethyl terephthalate,3,dimethyl terephthalate
dodecylbenzene,3,Dodecylbenzene
dry gas,3,Dry Gas
dubai crude,3,Dubai Crude
e85,3,E85
elastomers,3,elastomers
emulsion,3,Emulsion
engine coolant,3,engine coolant
epichlorohydrin,3,epichlorohydrin
epoxy resins,3,epoxy resins
ethanol,3,Ethanol
ethanolamine,3,Ethanolamine
ethoxylate,3,Ethoxylate
ethoxylates,3,ethoxylates
ethylbenzene,3,ethylbenzene
ethylene,3,ethylene
ethylene vinyl acetate,3,Ethylene Vinyl Acetate
ethylene vinyl alcohol,3,Ethylene Vinyl Alcohol
ethylhexanol,3,Ethylhexanol
explosives,3,explosives
extra-heavy crude,3,Extra-heavy Crude
extrudate,3,Extrudate
fertilizers,3,fertilizers
formaldehyde moulding compound,3,Formaldehyde Moulding Compound
fossil fuel,3,Fossil fuel
fragrances and flavors,3,fragrances and flavors
fuel gas,3,Fuel Gas
fuel oil,3,Fuel oil
gas plant products,3,Gas Plant Products
gasoil,3,Gasoil
gasoline,3,Gasoline
gel,3,Gel
glycol ethers,3,glycol ethers
greenhouse gas,3,Greenhouse gas
hdpe,3,HDPE,hdpes,high-density polyethylene,
ldpe,3,ldpe,ldpes,low-density polyethylene
heating oil,3,Heating Oil
heavy crude,3,Heavy Crude
hexene,3,Hexene
higher olefins,3,higher olefins
homopolymer,3,homopolymer
hydrocarbon,3,Hydrocarbon
industrial gases,3,industrial gases
ionomer,3,Ionomer
isomers of butylene,3,isomers of butylene
isophthalic acid,3,isophthalic acid
isthmus-34 light,3,Isthmus-34 Light
kerogen,3,Kerogen
kevlar,3,kevlar
lard,3,lard
light crude,3,Light Crude
light ends,3,Light Ends
linear alkyl benzene ,3,Linear alkyl benzene 
marine diesel oil,3,Marine Diesel Oil
medium density polyethylene,3,Medium Density Polyethylene
melt,3,Melt
meta,3,meta
methane,3,Methane
methanol,3,Methanol
methyl tert,3,Methyl tert
