lemma,poscode,surface
polymerize,2,polymerize
crystallize,2,crystallize
crystallic,4,crystallic
compress,2,compress
polymerize,2,polymerize
boost,2,boost
catalyze,2,catalyze
branch,2,branch
extract,2,extract
blend,2,blend
bloom,2,bloom
crack,2,crack
detonate,2,detonate
distill,2,distill
elongate,2,elongate
extrude,2,extrude
emboss,2,emboss
gelate,2,gelate
ionize,2,ionize
inject,2,inject
layer,2,layer
oxidize,2,oxidize
ozonate,2,ozonate
permeate,2,permeate
propagate,2,propagate
refine,2,refine
recycle,2,recycle
stratify,2,stratify
separate,2,separate
synthesize,2,synthesize
dehydrogenate,2,dehydrogenate
dis-propagate,2,dispropagate
recombine,2,recombine
purify,2,purify
recover,2,recover
cool,2,cool
pelletize,2,pelletize
condition,2,condition
degas,2,degas
free radical polymerization,3,free radical polymerization
polymerization,3,polymerization
manufacturing process,3,manufacturing process
process,3,process
industrial process,3,industrial process
compression,3,compression
separation,3,separation
extrusion,3,extrusion
boosting,3,boosting
catalysis,3,catalysis
branching,3,branching
abiotic disintegration,3,abiotic disintegration
aerobic degradation,3,aerobic degradation
anaerobic degradation,3,anaerobic degradation
adiabatic extrusion,3,adiabatic extrusion
accumulation,3,accumulation
blending,3,blending
blocking,3,blocking
coextrusion,3,coextrusion
composting,3,composting
configuration,3,configuration
conversion,3,conversion
cross-linking,3,cross-linking
cracking,3,cracking
cyclic steam stimulation,3,css
completion,3,completion
differential scanning calorimetry,3,differential scanning calorimetry
detonation,3,detonation
distillation,3,distillation
elmendorf tear test,3,elmendorf tear test
elongation,3,elongation
embossing,3,embossing
extraction,3,extraction
exploration,3,exploration
production,3,production
fractionation,3,fractionation
gelation,3,gelation
hydraulic fracturing,3,hydraulic fracturing
heat aging,3,heat aging
initiation,3,initiation
ionization,3,ionization
injection,3,injection
layering,3,layering
lifting,3,lifting
oxidation,3,oxidation
ozonation,3,ozonation
penetration,3,penetration
primary extraction,3,primary extraction
propagation,3,propagation
refining,3,refining
recycling,3,recycling
stratification,3,stratification
telescoping,3,telescoping
vapor extraction,3,vapor extraction
vis-breaking,3,vis-breaking
natural gas separation,3,natural gas separation
partial oxidation,3,partial oxidation
synthesis,3,synthesis
termination,3,termination
terminate,3,terminate
dehydrogenation,3,dehydrogenation
dis-propagation,3,dis-propagation
recombination,3,recombination
purification,3,purification
recovery,3,recovery
cooling,3,cooling
pelletizing,3,pelletizing
conditioning,3,conditioning
degassing,3,degassing
abiotic transformation,3,abiotic transformation
absorption,3,absorption
adsorption,3,adsorption
atrophy,3,atrophy
abatement,3,abatement
biotransformation,3,biotransformation
corrosion,3,corrosion
deposition,3,deposition
free-radical,4,free-radical
